  ZR    Vel     logg logTeff  y1(CHEOPS)    
  ZR    Vel     logg logTeff  y2(CHEOPS)  
  0.00  0.000   2.50  3.760   -0.0042
  0.00  0.000   2.50  3.778    1.0355
  0.00  0.000   2.50  3.778   -0.0065
  0.00  0.000   2.50  3.796    1.0169
  0.00  0.000   2.50  3.796   -0.0080
  0.00  0.000   2.50  3.813    1.0564
  0.00  0.000   2.50  3.813   -0.0184
  0.00  0.000   2.50  3.829    1.0930
  0.00  0.000   2.50  3.829   -0.0255
  0.00  0.000   2.50  3.845    1.0595
  0.00  0.000   2.50  3.845   -0.0263
  0.00  0.000   2.50  3.860    1.0091
  0.00  0.000   2.50  3.860   -0.0229
  0.00  0.000   2.50  3.875    0.9190
  0.00  0.000   2.50  3.875   -0.0153
  0.00  0.000   2.50  3.889    0.8273
  0.00  0.000   2.50  3.889   -0.0085
  0.00  0.000   2.50  3.903    0.7668
  0.00  0.000   2.50  3.903   -0.0055
  0.00  0.000   2.50  3.916    0.7092
  0.00  0.000   2.50  3.916   -0.0034
  0.00  0.000   2.50  3.929    0.6540
  0.00  0.000   2.50  3.929   -0.0015
  0.00  0.000   2.50  3.942    0.6103
  0.00  0.000   2.50  3.942   -0.0001
  0.00  0.000   2.50  3.954    0.5809
  0.00  0.000   2.50  3.954    0.0007
  0.00  0.000   2.50  3.966    0.5588
  0.00  0.000   2.50  3.966    0.0012
  0.00  0.000   2.50  3.978    0.5406
  0.00  0.000   2.50  3.978    0.0016
  0.00  0.000   2.50  3.989    0.5261
  0.00  0.000   2.50  3.989    0.0017
  0.00  0.000   2.50  4.000    0.5151
  0.00  0.000   2.50  4.000    0.0017
  0.00  0.000   2.50  4.011    0.5042
  0.00  0.000   2.50  4.011    0.0016
  0.00  0.000   2.50  4.021    0.4951
  0.00  0.000   2.50  4.021    0.0016
  0.00  0.000   2.50  4.031    0.4859
  0.00  0.000   2.50  4.031    0.0016
  0.00  0.000   2.50  4.041    0.4771
  0.00  0.000   2.50  4.041    0.0014
  0.00  0.000   2.50  4.051    0.4686
  0.00  0.000   2.50  4.051    0.0015
  0.00  0.000   2.50  4.061    0.4617
  0.00  0.000   2.50  4.061    0.0013
  0.00  0.000   2.50  4.070    0.4540
  0.00  0.000   2.50  4.070    0.0013
  0.00  0.000   2.50  4.079    0.4488
  0.00  0.000   2.50  4.079    0.0010
  0.00  0.000   2.50  4.088    0.4438
  0.00  0.000   2.50  4.088    0.0008
  0.00  0.000   2.50  4.097    0.4395
  0.00  0.000   2.50  4.097    0.0002
  0.00  0.000   2.50  4.106    0.4367
  0.00  0.000   2.50  4.106   -0.0001
  0.00  0.000   2.50  4.114    0.4319
  0.00  0.000   2.50  4.114   -0.0009
  0.00  0.000   2.50  4.146    0.4328
  0.00  0.000   2.50  4.146   -0.0040
  0.00  0.000   2.50  4.176    0.4369
  0.00  0.000   2.50  4.176   -0.0080
  0.00  0.000   2.50  4.204    0.4455
  0.00  0.000   2.50  4.204   -0.0115
  0.00  0.000   2.50  4.230    0.4552
  0.00  0.000   2.50  4.230   -0.0239
  0.00  0.000   2.50  4.255    0.4683
  0.00  0.000   2.50  4.255   -0.0309
  0.00  0.000   2.50  4.279    0.4855
  0.00  0.000   2.50  4.279   -0.0361
  0.00  0.000   3.00  3.544    2.9296
  0.00  0.000   3.00  3.544    0.0456
  0.00  0.000   3.00  3.574    2.3451
  0.00  0.000   3.00  3.574   -0.0133
  0.00  0.000   3.00  3.602    1.8504
  0.00  0.000   3.00  3.602   -0.0092
  0.00  0.000   3.00  3.628    1.5501
  0.00  0.000   3.00  3.628   -0.0032
  0.00  0.000   3.00  3.653    1.3914
  0.00  0.000   3.00  3.653   -0.0012
  0.00  0.000   3.00  3.677    1.2854
  0.00  0.000   3.00  3.677   -0.0004
  0.00  0.000   3.00  3.699    1.2012
  0.00  0.000   3.00  3.699   -0.0003
  0.00  0.000   3.00  3.720    1.1335
  0.00  0.000   3.00  3.720   -0.0009
  0.00  0.000   3.00  3.740    1.0834
  0.00  0.000   3.00  3.740   -0.0018
