  logg    Teff     ZR    y1(CHEOPS)    
  logg    Teff     ZR    y2(CHEOPS)    
  3.50    6400.   0.0000  -0.0074
  3.50    6500.   0.0000   1.0345
  3.50    6500.   0.0000  -0.0068
  3.50    6600.   0.0000   1.0315
  3.50    6600.   0.0000  -0.0080
  3.50    6700.   0.0000   1.0874
  3.50    6700.   0.0000  -0.0078
  3.50    6800.   0.0000   0.9334
  3.50    6800.   0.0000  -0.0101
  3.50    6900.   0.0000   0.9250
  3.50    6900.   0.0000  -0.0136
  3.50    7000.   0.0000   1.0370
  3.50    7000.   0.0000  -0.0144
  3.50    7200.   0.0000   0.9935
  3.50    7200.   0.0000  -0.0170
  3.50    7400.   0.0000   0.9517
  3.50    7400.   0.0000  -0.0184
  3.50    7600.   0.0000   0.8710
  3.50    7600.   0.0000  -0.0294
  3.50    7800.   0.0000   0.8729
  3.50    7800.   0.0000  -0.0187
  3.50    8000.   0.0000   0.8640
  3.50    8000.   0.0000  -0.0156
  3.50    8200.   0.0000   0.7708
  3.50    8200.   0.0000  -0.0124
  3.50    8400.   0.0000   0.7487
  3.50    8400.   0.0000  -0.0098
  3.50    8600.   0.0000   0.7138
  3.50    8600.   0.0000  -0.0128
  3.50    8800.   0.0000   0.6776
  3.50    8800.   0.0000  -0.0118
  3.50    9000.   0.0000   0.6449
  3.50    9000.   0.0000  -0.0111
  3.50    9200.   0.0000   0.6245
  3.50    9200.   0.0000  -0.0109
  3.50    9400.   0.0000   0.6085
  3.50    9400.   0.0000  -0.0107
  3.50    9600.   0.0000   0.5996
  3.50    9600.   0.0000  -0.0100
  3.50    9800.   0.0000   0.5894
  3.50    9800.   0.0000  -0.0099
  3.50   10000.   0.0000   0.5738
  3.50   10000.   0.0000  -0.0097
  3.50   10200.   0.0000   0.5649
  3.50   10200.   0.0000  -0.0097
  3.50   10400.   0.0000   0.5568
  3.50   10400.   0.0000  -0.0097
  3.50   10600.   0.0000   0.5494
  3.50   10600.   0.0000  -0.0096
  3.50   10800.   0.0000   0.5417
  3.50   10800.   0.0000  -0.0095
  3.50   11000.   0.0000   0.5332
  3.50   11000.   0.0000  -0.0094
  3.50   11200.   0.0000   0.4768
  3.50   11200.   0.0000  -0.0093
  3.50   11400.   0.0000   0.4680
  3.50   11400.   0.0000  -0.0092
  3.50   11600.   0.0000   0.5579
  3.50   11600.   0.0000  -0.0120
  3.50   11800.   0.0000   0.5480
  3.50   11800.   0.0000  -0.0119
  3.50   12000.   0.0000   0.4361
  3.50   12000.   0.0000  -0.0116
  4.00    2300.   0.0000   1.2674
  4.00    2300.   0.0000   0.1433
  4.00    2400.   0.0000   1.7182
  4.00    2400.   0.0000   0.0595
  4.00    2500.   0.0000   2.0234
  4.00    2500.   0.0000   0.0205
  4.00    2600.   0.0000   2.0883
  4.00    2600.   0.0000   0.0114
  4.00    2700.   0.0000   2.0506
  4.00    2700.   0.0000   0.0162
  4.00    2900.   0.0000   1.9791
  4.00    2900.   0.0000   0.0338
  4.00    3100.   0.0000   1.8984
  4.00    3100.   0.0000   0.0545
  4.00    3200.   0.0000   1.8324
  4.00    3200.   0.0000   0.0615
  4.00    3300.   0.0000   1.8047
  4.00    3300.   0.0000   0.0685
  4.00    3400.   0.0000   1.8174
  4.00    3400.   0.0000   0.0685
  4.00    3500.   0.0000   1.8251
  4.00    3500.   0.0000   0.0578
  4.00    3600.   0.0000   1.8156
  4.00    3600.   0.0000   0.0447
  4.00    3700.   0.0000   1.8013
  4.00    3700.   0.0000   0.0271
  4.00    3800.   0.0000   1.7868
  4.00    3800.   0.0000   0.0106
  4.00    3900.   0.0000   1.7839
  4.00    3900.   0.0000  -0.0035
  4.00    4000.   0.0000   1.7825
  4.00    4000.   0.0000  -0.0115
